Hideo Kojima is a prolific Japanese video game designer; perhaps best known for his Metal Gear franchise., neg,1
His trademark stealth gameplay and over-the-top storytelling have both confused and fascinated fans for years., neg,1
But after a high-profile fallout with former publisher Konami; he founded his own studio Kojima Productions; and ventured towards Sony for his first new project; Death Stranding., pos,0.6
This new title retains a lot of the strange and convoluted nature that this game maker is known for; however it lacks the necessary cohesiveness and editing to bring the narrative together., neg,0.6
Further; while story blemishes in the past have been propped up by some excellent gameplay; this offering lacks severely in this regard., pos,1
As such; Death Stranding is less a revelation and more like an off-brand imitation of Hideo Kojima's previous works., neg,1
The in-game world is a complicated one., pos,0.6
Set in what remains of the United States; we learn that the country has been devastated by a cataclysmic event known as Death Stranding., neg,1
This event had dire consequences for humanity; as it unleashed ghost-like creatures known as BTs; who sporadically roam the land and consume anything they come into contact with., neg,1
They also cause massive explosions (voidouts) by consuming any dead human bodies with necrosis; wiping out entire cities., neg,1
Last but not least; the land is under constant threat of Timefall - whether rain or snow; all precipitation speeds up the passage of time for whatever it touches., neg,1
It's in this difficult situation that the last remnants of humanity attempt to survive by barricading themselves in cities and underground shelters., neg,1
Even inside however; the humans aren't safe from unwillingly venturing onto the Beach; an interdimensional place that seems to connect our world with the afterlife., pos,1
Players assume the role of Sam; a delivery man who is one of the very few that remain outdoors to deliver packages between the settlements., neg,1
He feels isolated and unattached to any one community; thus choosing the life on the road., neg,1
But he's also no ordinary human; Sam has a so-called DOOMs disease; which allows him to; at least partially; sense BTs and thus avoid getting into confrontation., neg,1
And even further to that; he is a Repatriate; which allows him to essentially resurrect from fatal injuries., neg,1
In the first few hours of the game we get to witness these abilities first-hand; as Sam is asked to help dispose of a freshly dead body., neg,1
But the team doesn't make it to their destination; are attacked by BTs; and another voidout explosion occurs; leaving a massive crater in its place., neg,0.6
After coming back to life; Sam receives a message from Deadman; a member of the organization known as Bridges., neg,1
Sam's mother is unwell and needs some medicine delivered - his mother is Bridget Strand; the current President of the United States., pos,1
Sam brings the medicine; but he is too late; with her dying breath; she begs Sam to finish what she started - deploy a Chiral Network between the remaining cities in the country; so that they can all communicate again., neg,0.6
Sam refuses the request; however his sister Amelie Strand appears via hologram and begs him to complete this request., neg,1
We learn that Amelie attempted to reunite the country; but she did not succeed - and is now being held against her will in the last city on the West Coast; who do not wish to join the new UCA (United Cities of America)., neg,1
Feeling a close connection to his sister; Sam reluctantly agrees to join Bridges and follow in his sister's footsteps to reunite the cities and settlements along the way and rescue her., neg,1
To help on his journey; Sam gets a BB - a so called Bridge Baby; a premature child that mysteriously connects our world and the next; but in functional terms; they allow the carriers to more easily detect and avoid BTs and other abnormalities., neg,1
They are treated as tools; rather than human children; and are fairly heartlessly produced and disposed of., pos,1
Sam not only comes to use his BB a lot; but he also realizes they have some sort of bond; as each time he connects to the BB; he sees visions of its past., neg,1
It is there he learns of a mysterious military man; who seems to be coming after BB and Sam., pos,1
Not to be outdone; there's also a terrorist organization led by a man named Higgs who seems hell bent on wiping out the country not to mention he has his own powers that let him control BTs., neg,1
The above is just the first few hours' worth of narrative; as Death Stranding knits together an extremely in-depth world; which is impressive., pos,1
But if you're familiar with previous works of Hideo Kojima; you'll sort of know what to expect as far as storytelling and writing are concerned., pos,1
The story is both fascinating and self-indulgent; confusing and poorly paced; and yet occasionally enthralling., neg,1
There are moments of great drama and intensity; and yet these are very few in number., pos,0.6
The individual stories of the main cast offer the more personal and interesting moments., neg,1
Aside from the opening and closing hours; the vast majority of your playtime won't have much narrative at all; as you simply trek across the land between various outposts., neg,1
For a game world with so many variables and potentially interesting lore to explore; the story being told is superficial and too dull to be stretched over such a long campaign., neg,1
It doesn't really reach the excellence of the Metal Gear Solid franchise; as there are too many confusing and dimension-traveling moments that not even nanomachines could explain., neg,1
People regularly shed tears because they are allergic to BTs / the Beach and with character names like Die-Hardman; Sam Bridges; Heartman; and so on; there are enough off-beat moments to muddy the atmosphere of an otherwise serious story., neg,1
Depending on your interpretation; it's a narrative full of metaphors and double meaning; or perhaps it's just nonsense., neg,1
The lengthy cutscenes that dominate the opening and closing hours are also rather dull., neg,1
The general advice of show; don't tell is completely ignored here; as characters monologue for long periods of time and often repeat themselves., pos,1
Every outpost you visit consists of the same copy-pasted lifeless metal bunkers; and you interact with holograms of characters; as many folks refuse to even meet you in person., neg,1
They still choose to share their whole life story; however; and after a while the urge to just skip all this optional dialogue becomes very strong., neg,1
Again; none of this should surprise those familiar with Kojima's previous work; but the fact remains that some severe editing and trimming was really needed., neg,1
At least the cast does their best with the material - the voice acting and likenesses of Norman Reedus; Lea Seydoux; Mads Mikkelsen; Margaret Qualley; and Troy Baker; among others; all give solid performances., pos,1
There are also characters modeled after Guillermo del Toro and Lindsay Wagner; but with different voice actors handling the role., pos,1
All said and done though; it's difficult to recommend Death Stranding just for its story or mystery; because while the lore seems incredibly detailed; the actual events are poorly handled and rarely thrill or engage., neg,1
With the narrative established; however well you understand it; it's time for Sam to head out., neg,0.6
And hopefully you're ready for this - the majority of Death Stranding gameplay consists of delivering packages., neg,1
That's right; this is a crazy post-apocalyptic version of those Truck Sim games; except you're on foot most of the time., neg,0.6
The game consists of two open-world regions; spanning many kilometers; terrain types; and dotted with settlements., neg,1
Your task is to deliver packages carried on your back between these locations., neg,1
On average; and of course depending on the terrain and the destination; you spend about 20 minutes simply walking from place to place., neg,1
